"IDS","NAME","LONGITUDE","LATITUDE","NEAREST_LINE_ID","COMID","ARBOLATESU","SNAP_DIST","DISTFROMNODE","DISTTONODE","DIST_FROMHWKM","GEOMETRY","POINTTYPE"
"Point.778","UT00375 ROUND WILLOW BOTTOM",-111.8416,37.9066,3277545,3277545,1.424,49.7455336326478,35.7716032863875,1008.48005296852,0.415519947031481,"c(426010.528259913, 4195736.52700259)","dam"
"Point.779","UT00042 BLANDING CITY NO. 3",-109.4866,37.6699,1399054,1399054,5.474,893.028663275339,946.049809192143,4501.22219814212,0.972777801857883,"c(634274.328863195, 4170655.78700272)","dam"
"Point.780","UT00183 LONG WILLOW BOTTOM",-111.845,37.9066,3277539,3277539,0.167,61.089491611021,116.28189684779,53.6651631471697,0.11333483685283,"c(425705.986384622, 4195728.56607279)","dam"
"Point.781","WY01247 BROADBENT NO. 2",-110.7517,41.34,3267786,3267786,8.455,229.211057319273,265.016469640289,274.54068262192,8.18045931737808,"c(520645.948059251, 4576720.7437691)","dam"
"Point.782","WY01474 DETENTION 1594 #3 DAM",-107.98,41.3,18272244,18272244,7.706,9.45704386525792,103.84097634469,4159.20382052055,3.54679617947945,"c(752838.821936721, 4576466.05881647)","dam"
"Point.783","WY01507 NO. 1 TAILINGS",-109.6817,41.7202,18315062,18315062,11.898,154.912324304623,143.169538859842,3712.37922504326,8.18562077495674,"c(609636.490532705, 4619397.12165002)","dam"
"Point.784","WY01211 CLIFFORD F. GRAHAM",-110.25,41.2583,3197024,3197024,58.044,241.829271328704,2074.25678911333,521.412138329064,57.5225878616709,"c(562833.305496092, 4567460.84579899)","dam"
"Point.785","CO00556 CRAWFORD",-107.6105,38.6899,3251439,3251439,145.346,197.239489931015,47.9412379046178,1469.48768482852,143.876512315171,"c(795000.350127678, 4287894.02692278)","dam"
"Point.786","AZ00049 LYNX LAKE",-112.3863,34.5225,20410762,20410762,32.58,0.604841291406002,12.0441836747831,269.226892380682,32.3107731076193,"c(372762.315987583, 3820964.46618448)","dam"
"Point.787","AZ00066 GRAVEYARD WASH",-109.7188,32.8013,21328697,21328697,87.488,3.16196265104813,3215.4075014975,1234.76567713746,86.2532343228625,"c(619958.406533767, 3629983.87945461)","dam"
"Point.788","AZ00068 FRYE CREEK RETARDING",-109.7591,32.8288,21328561,21328561,51.696,342.048345882822,1102.07105397248,819.461165491659,50.8765388345083,"c(615805.877654698, 3633017.17634564)","dam"
"Point.789","AZ00014 PARKER CANYON",-110.4572,31.4275,15907761,15907761,24.612,53.1286027837294,119.284851966184,2390.81455326645,22.2211854467335,"c(551564.148891801, 3477060.56530227)","dam"
"Point.790","AZ20011 FLAT TOP DETENTION DAM",-113.13,36.77,20655274,20655274,566.751,184.196160350032,884.342973556827,1811.48983553339,564.939510164467,"c(309773.60163595, 4071339.19985995)","dam"
"Point.791","CO02890 LAKE DEBORAH",-106.963,39.2066,1327107,1327107,1.868,251.825590729427,717.539138861125,1162.37349716977,0.705626502830232,"c(848699.019545128, 4347238.272019)","dam"
"Point.792","CO01753 MERIDIAN LAKE",-106.9977,38.9077,1332794,1332794,9.965,261.542827118201,507.764496191752,1945.34492873414,8.01965507126586,"c(847217.102508225, 4314374.77832732)","dam"
"Point.793","CO01025 MCCHIVVIS",-107.0305,40.1182,1356434,1356434,5.05,4.90203416406023,14.4215963518922,2934.18448395238,2.11581551604762,"c(838301.462274995, 4448432.9226775)","dam"
"Point.794","CO00961 BEAVER LAKE",-107.6465,39.9121,1344396,1344396,3.515,49.0706737614107,30.9748116164104,1616.87526748375,1.89812473251625,"c(786664.934818087, 4423340.30376667)","dam"
"Point.795","CO01254 WEST BADGER DETENTION",-108.9422,39.2999,3177532,3177532,4.15,54.5796919025505,2994.57461419966,1145.41137010568,3.00458862989432,"c(677388.072451912, 4352087.62364435)","dam"
"Point.796","CO01688 LEMON",-107.661,37.3819,17015277,17015277,112.908,146.570810496054,2177.45057103505,102.979429633902,112.805020570366,"c(795566.938105233, 4142597.90189925)","dam"
"Point.797","CO00356 BALD MOUNTAIN",-107.4022,38.6566,3251613,3251613,6.585,139.398917168067,0,6572.80844001634,0.0121915599836599,"c(813208.532619949, 4284749.10928055)","dam"
"Point.798","CO00585 DRY FORK DIVERSION DAM - FDSA",-108.07,38.82,3231641,3231641,5.797,72.1402580459234,85.711634045586,5568.30666028952,0.228693339710476,"c(754330.864260714, 4300828.05189052)","dam"
"Point.799","NV00118 HOLLINGER DEBRIS",-114.168,38.105,20595676,20595676,478.362,12.1741006515965,48.3578546277515,62.7083755751893,478.299291624425,"c(222233.07790255, 4222208.80929118)","dam"
"Point.800","NM00252 UPPER GILA VALLEY SITE NO. 4 DAM",-108.5517,32.9914,3080223,3080223,7.138,87.27810506848,552.898475135333,821.920485725292,6.31607951427471,"c(728769.64017137, 3652909.05975442)","dam"
"Point.801","NM00254 UPPER GILA VALLEY SITE NO. 7 DAM",-108.5494,33.025,3076693,3076693,4089.277,853.968561070483,667.717814557156,1217.92248725734,4088.05907751274,"c(729605.444903976, 3656262.75913757)","dam"
"Point.802","NM00046 CANADA CORRALES DAM",-107.44,36,16976210,16976210,4.662,466.60956014104,777.982218895358,247.059256067261,4.41494074393274,"c(820890.697051848, 3990278.80056228)","dam"
"Point.803","NM00368 BOLACK NO 1 DAM",-108.1587,36.7129,17037309,17037309,8696.745,99.043757503113,798.711547700103,704.070683103204,8696.0409293169,"c(753786.72553348, 4066688.70881454)","dam"
"Point.804","NM00250 UPPER GILA VALLEY SITE NO. 1 DAM",-108.5634,32.9667,3080343,3080343,5.663,72.7570885354448,3504.76266281685,2177.94728420178,3.48505271579822,"c(727668.331214888, 3650268.70465726)","dam"
"Point.805","NM00535 UPPER GILA VALLEY SITE NO. 5 DAM",-108.55,33,3080219,3080219,1.326,581.592022818194,0,1321.6259934614,0.00437400653860109,"c(728315.807426676, 3653949.2628902)","dam"
"Point.806","NM00255 UPPER GILA VALLEY SITE NO. 8 DAM",-108.5578,33.02,3076695,3076695,4.154,41.8049510029989,3055.34184405729,1094.11248048939,3.05988751951061,"c(728087.676270608, 3656124.54505156)","dam"
"Point.807","NM00256 UPPER GILA VALLEY SITE NO. 9 DAM",-108.5634,33.0177,3076695,3076695,4.154,511.088199052626,2872.84674743359,1276.60757711308,2.87739242288692,"c(727957.318727496, 3656252.26103038)","dam"
"Point.808","NM00447 UPPER GILA VALLEY SITE NO. 3 DAM",-108.5607,32.98,3080343,3080343,5.663,950.036690718363,2015.85333733225,3666.85660968638,1.99614339031362,"c(728733.705008197, 3651176.64889726)","dam"
"Point.809","NM00120 NAVAJO",-107.6117,36.8015,17040463,17040463,4386.393,594.761665903621,11.4532637230893,5279.11392009006,4381.11388607991,"c(802102.759726243, 4078768.46887593)","dam"
"Point.810","UT00442 HANSEN NO.3 (GRANT)",-110.2669,40.2392,11981755,11981755,18.897,377.551265319403,10.1676339700696,946.187434355986,17.950812565644,"c(562480.480633589, 4454921.67525413)","dam"
"Point.811","UT00438 MOAB SALT POTASH STOCKPILE DAM",-109.6666,38.5166,3378793,3378793,6.291,503.792935414013,4752.8795564549,1562.76703377168,4.72823296622832,"c(616095.441027795, 4264458.80113585)","dam"
"Point.812","WY01604 COYOTE",-110.3636,41.3311,3195692,3195692,470.039,607.448780583731,1855.56737114261,4312.76746666292,465.726232533337,"c(552783.117336816, 4576092.89456134)","dam"
"Point.813","CO00586 LITTLE GIANT #1",-107.7905,39.0399,3230637,3230637,0.456,9.31095780343471,147.459150163013,19.2578132274517,0.436742186772548,"c(777798.37969538, 4326103.00123809)","dam"
"Point.814","CO00554 COLE #5",-107.8488,39.0033,3230465,3230465,31.35,663.678854305019,1219.61584765971,316.995416823796,31.0330045831762,"c(773547.105601798, 4321837.72083565)","dam"
"Point.815","AZ00072 FREEMAN WASH RETARDING",-109.7372,32.8141,21328579,21328579,7.679,183.940863587442,0,507.293446367507,7.17170655363249,"c(618350.979452955, 3631259.16643935)","dam"
"Point.816","AZ10306 WHEATFIELDS",-109.0944,36.215,1409673,1409673,99.169,356.598343155119,305.34148015889,1925.22043241913,97.2437795675809,"c(671471.212155187, 4009785.58361941)","dam"
"Point.817","AZ10421 DRIFT FENCE",-109.5385,33.8214,20493631,20493631,5.678,3.4962414184955,4.25347622823424,4272.55884247796,1.40544115752204,"c(635255.662115913, 3743310.78357658)","dam"
"Point.818","AZ10416 COOLEY",-109.9188,34.0703,21734186,21734186,7.59,13.5037459446096,17.5041146467489,1161.64154798357,6.42835845201643,"c(599770.934061251, 3770490.83110681)","dam"
"Point.819","AZ20001 ANTELOPE VALLEY DETENTION DAM",-112.98,36.59,20656806,20656806,10.505,22.010653745526,7331.86260143507,3115.62348694168,7.38937651305833,"c(322897.58083997, 4051218.52185349)","dam"
